titulo;metro_quadrato;qtd_quarto;qtd_banheiro;qtd_vaga_carro;valor
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 50.000
Apartamento com  Quarto à Venda, 60m²;60;1;1;--;R$ 50.000
Apartamento com 2 Quartos à Venda, 44m²;44;2;1;--;R$ 50.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 55.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 60.000
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;--;R$ 60.000
Apartamento com 2 Quartos à Venda, 35m²;35;2;1;--;R$ 62.904
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 65.000
Apartamento com 2 Quartos à Venda, 43m²;43;2;1;--;R$ 65.737
Apartamento com 2 Quartos à Venda, 43m²;43;2;1;--;R$ 65.737
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 66.000
Apartamento com 3 Quartos à Venda, 10m²;10;3;2;2;R$ 66.218
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;--;R$ 67.437
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;--;R$ 67.437
Apartamento com  Quarto à Venda, 22m²;22;1;1;--;R$ 69.000
Apartamento com  Quarto à Venda, 24m²;24;1;1;--;R$ 69.000
Apartamento com 2 Quartos à Venda, 38m²;38;2;1;--;R$ 70.000
Apartamento com 2 Quartos à Venda, 40m²;40;2;1;1;R$ 70.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;--;R$ 70.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 70.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 70.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;--;R$ 70.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 70.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 74.200
Apartamento com 2 Quartos à Venda, 44m²;44;2;1;--;R$ 75.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 75.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;--;R$ 75.000
