nome;preço;ano;quilometragem;cidade;estado;marca
Renault Clio 1.0 Campus 16v;23990.0;2012;149.160 Km;São Bernardo do Campo ; São Paulo;Renault
Peugeot 207 1.4 Xr Flex 5p;19990.0;2011;141.000 Km;São Paulo Zona Leste ; São Paulo;Peugeot
Renault Sandero 1.0 16v Expression Hi-flex 5p;23900.0;2010;123.798 Km;Diadema ; São Paulo;Renault
Chevrolet Celta 1.0 Ls Flex Power 3p;22900.0;2012;130.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Renault Sandero 1.0 16v Expression Hi-flex 5p;24800.0;2011;220.000 Km;São Bernardo do Campo ; São Paulo;Renault
Chevrolet Celta 1.0 Spirit Flex Power 5p;22890.0;2010;238.000 Km;Osasco ; São Paulo;Chevrolet
Ford Ka 1.0 Flex 3p;18990.0;2009;104.085 Km;Santo André ; São Paulo;Ford
Fiat Palio 1.0 Fire Economy Flex 3p;23900.0;2013;125.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Peugeot 307 1.6 Presence Pack Flex 5p;23900.0;2009;160.000 Km;São Paulo Zona Oeste ; São Paulo;Peugeot
Peugeot 207 1.4 Xr Flex 5p;23900.0;2012;100.000 Km;São Paulo Zona Norte ; São Paulo;Peugeot
Renault Sandero 1.6 Vibe Hi-torque 5p;24900.0;2010;240.000 Km;São Paulo Zona Leste ; São Paulo;Renault
Ford Ka Ka 1.0 Mpi 8v Flex 2p Manual;19900.0;2009;150.000 Km;Osasco ; São Paulo;Ford
Fiat Uno 1.0 Vivace Flex 3p;23900.0;2012;160.000 Km;São Paulo Zona Leste ; São Paulo;Fiat
Volkswagen Fox 1.0 Vht Plus Total Flex 5p;24890.0;2009;135.000 Km;São Paulo Zona Sul ; São Paulo;Volkswagen
Chery Qq 1.1 16v 5p;23990.0;2014;84.675 Km;São Paulo Zona Oeste ; São Paulo;Chery
Citroën C3 1.4 I Glx 8v Flex 4p Manual;22890.0;2011;95.000 Km;São Paulo Zona Leste ; São Paulo;Citroën
Ford Ka 1.0 Fly Flex 3p;23990.0;2009;107.385 Km;Osasco ; São Paulo;Ford
Chery Qq 1.1 16v;21900.0;2012;122.838 Km;São Paulo Centro ; São Paulo;Chery
Citroën C3 1.4 8v Exclusive Flex 5p;24990.0;2012;97.000 Km;São Bernardo do Campo ; São Paulo;Citroën
Chevrolet Celta 1.0 Ls Flex Power 3p;21900.0;2012;153.200 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Volkswagen Gol 1.0 City Total Flex 5p;24900.0;2009;135.000 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Peugeot 207 1.4 Xr Flex 3p;19800.0;2009;132.000 Km;São Paulo Zona Norte ; São Paulo;Peugeot
Ford Ka 1.0 Mpi 8v Flex 2p Manual;20890.0;2011;87.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Chevrolet Celta 1.0 Ls Flex Power 3p;24900.0;2012;137.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Renault Clio 1.0 Campus 16v;23500.0;2010;80.761 Km;Itapecerica da Serra ; São Paulo;Renault
Renault Clio 1.0 Campus 16v;22900.0;2011;214.366 Km;Itapecerica da Serra ; São Paulo;Renault
Ford Ka 1.0 Tecno Flex 3p;23900.0;2011;180.000 Km;Suzano ; São Paulo;Ford
Renault Clio 1.0 Campus 16v;24990.0;2012;182.000 Km;São Bernardo do Campo ; São Paulo;Renault
Chevrolet Celta 1.0 Ls Flex Power 3p;23900.0;2014;166.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Ford Ka Ka 1.0 8v/1.0 8v St Flex 3p;20900.0;2010;163.000 Km;Osasco ; São Paulo;Ford
Chevrolet Celta Celta Spirit 1.0 Vhc (flex) 4p;24990.0;2010;168.501 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Peugeot 207 207 1.4 Xr 8v Flex 4p Manual;22800.0;2013;1.111 Km;Carapicuíba ; São Paulo;Peugeot
Peugeot 207 1.6 Xs 16v Flex 4p Manual;24890.0;2011;109.000 Km;São Paulo Zona Leste ; São Paulo;Peugeot
Fiat Uno 1.0 Vivace Flex 3p;24990.0;2012;201.714 Km;Guarulhos ; São Paulo;Fiat
Renault Sandero 1.0 16v Expression Hi-flex 5p;22990.0;2009;114.000 Km;São Paulo Zona Oeste ; São Paulo;Renault
Fiat Uno 1.0 Evo Vivace 8v Flex 2p Manual;22000.0;2013;99.720 Km;Guarujá ; São Paulo;Fiat
Ford Ka 1.0 Flex 3p;18900.0;2009;125.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Peugeot 207 1.4 Xr Flex 5p;19900.0;2009;167.730 Km;Osasco ; São Paulo;Peugeot
Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual;18900.0;2012;135.000 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Fiat Palio 1.0 Fire Celebration Flex 3p;20900.0;2009;147.000 Km;Ribeirão Pires ; São Paulo;Fiat
Ford Fiesta 1.0 Flex 5p;22990.0;2011;140.000 Km;Campinas ; São Paulo;Ford
Ford Ka 1.0 Flex 3p;16900.0;2009;209.000 Km;São Bernardo do Campo ; São Paulo;Ford
Ford Ka 1.0 Flex 3p;20990.0;2011;123.000 Km;Guarulhos ; São Paulo;Ford
Chevrolet Celta 1.0 Life Flex Power 3p;19700.0;2010;172.385 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Chevrolet Celta 1.0 Life Flex Power 5p;23900.0;2011;170.000 Km;Santo André ; São Paulo;Chevrolet
Peugeot 207 1.4 Xr Sport Flex 5p;20900.0;2011;140.000 Km;São Paulo Zona Norte ; São Paulo;Peugeot
Renault Sandero Sandero 1.0 Expression 16v Flex 4p Manual;24999.0;2010;134.046 Km;São Paulo ; São Paulo;Renault
Chevrolet Celta 1.0 Spirit Flex Power 5p;20890.0;2009;114.019 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Peugeot 207 1.4 Xr Flex 5p;19900.0;2012;136.100 Km;São Paulo Zona Leste ; São Paulo;Peugeot
Volkswagen Gol Gol 1.0 (g4) (flex) 4p;23990.0;2011;188.000 Km;Santo André ; São Paulo;Volkswagen
Ford Fiesta 1.6 Mpi Hatch 8v Flex 4p Manual;24890.0;2012;136.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Ford Fiesta 1.0 Flex 5p;24900.0;2009;159.000 Km;São Paulo Zona Norte ; São Paulo;Ford
Volkswagen Gol Gol (novo) 1.0 Mi Total Flex 8v 4p;21500.0;2010;108.672 Km;São Paulo Zona Norte ; São Paulo;Volkswagen
Peugeot 207 1.4 Active 8v Flex 4p Manual;23900.0;2014;123.000 Km;São Paulo Zona Norte ; São Paulo;Peugeot
Ford Ka 1.0 Flex 3p;23990.0;2010;96.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Peugeot 207 1.4 Xr Flex 5p;21900.0;2010;120.683 Km;São Paulo Zona Sul ; São Paulo;Peugeot
Chery Face 1.3 16v Flex 5p;23900.0;2012;123.000 Km;São Paulo Zona Sul ; São Paulo;Chery
Renault Clio 1.0 16v Campus Hi-flex 5p;20900.0;2011;170.000 Km;São Paulo Zona Leste ; São Paulo;Renault
Ford Ka 1.0 3p;5900.0;1997;200.000 Km;Santo André ; São Paulo;Ford
Jac J3 1.4 16v 5p;24900.0;2012;101.000 Km;São Paulo Zona Sul ; São Paulo;Jac
Peugeot 207 207 Hatch Xs 1.6 16v (flex);19900.0;2009;153.000 Km;São Paulo Zona Leste ; São Paulo;Peugeot
Ford Fiesta 1.0 Flex 5p;24990.0;2011;83.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Fiat Palio 1.0 Mpi Fire Economy 8v Flex 4p Manual;21900.0;2010;195.000 Km;São Paulo Zona Norte ; São Paulo;Fiat
Ford Ka 1.0 Mpi 8v Flex 2p Manual;21900.0;2011;125.000 Km;São Paulo Zona Sul ; São Paulo;Ford
Volkswagen Gol 1.0 Total Flex 5p;20990.0;2012;140.000 Km;Campinas ; São Paulo;Volkswagen
Renault Clio 1.0 16v Campus Hi-flex 3p;18900.0;2010;86.000 Km;São Paulo Zona Leste ; São Paulo;Renault
Citroën C3 1.4 8v Glx Flex 5p;24000.0;2012;158.500 Km;São Paulo Zona Leste ; São Paulo;Citroën
Citroën C4 1.6 Glx Flex 5p;24990.0;2010;192.882 Km;Guarulhos ; São Paulo;Citroën
Chevrolet Celta 1.0 Ls Flex Power 3p;22900.0;2012;153.117 Km;Suzano ; São Paulo;Chevrolet
Jac J3 Turin 1.4 16v 4p;22000.0;2012;146.000 Km;São Paulo Zona Sul ; São Paulo;Jac
Chevrolet Celta 1.0 Spirit Flex Power 3p;19000.0;2009;199.780 Km;São Roque ; São Paulo;Chevrolet
Chevrolet Celta Celta Ls 1.0 (flex) 2p;22990.0;2012;87.612 Km;São Paulo Zona Norte ; São Paulo;Chevrolet
Peugeot 207 207 Sedan Passion Xr 1.4 Flex 8v 4p;21800.0;2010;127.749 Km;São Bernardo do Campo ; São Paulo;Peugeot
Renault Clio 1.0 16v Campus Hi-flex 5p;22890.0;2010;102.000 Km;São Bernardo do Campo ; São Paulo;Renault
Chevrolet Celta 1.0 Mpfi Spirit 8v;21900.0;2009;168.155 Km;Carapicuíba ; São Paulo;Chevrolet
Volkswagen Gol 1.0 Total Flex 3p;19890.0;2012;199.000 Km;Osasco ; São Paulo;Volkswagen
Ford Fiesta 1.0 Flex 5p;23900.0;2010;170.000 Km;Osasco ; São Paulo;Ford
Ford Fiesta 1.0 Flex 5p;24990.0;2012;165.000 Km;São Paulo Zona Leste ; São Paulo;Ford
Volkswagen Gol 1.0 Trend Total Flex 5p;25000.0;2009;120.054 Km;Santo André ; São Paulo;Volkswagen
Chevrolet Celta 1.0 Spirit Flex Power 3p;21000.0;2010;100.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Chevrolet Celta 1.0 Spirit Flex Power 3p;20999.0;2010;98.000 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Citroën C3 1.4 I Glx 8v Flex 4p Manual;24490.0;2011;140.000 Km;São Paulo Zona Sul ; São Paulo;Citroën
Peugeot 207 1.6 16v Xs Flex Aut. 5p;24900.0;2009;128.000 Km;São Paulo Zona Sul ; São Paulo;Peugeot
Chevrolet Corsa 1.4 Maxx Econoflex 5p;24000.0;2012;152.000 Km;São Paulo Zona Sul ; São Paulo;Chevrolet
Volkswagen Gol 1.0 Total Flex 3p;24990.0;2011;130.000 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Ford Fiesta 1.6 Fly Flex 5p;24900.0;2009;185.000 Km;Guarulhos ; São Paulo;Ford
Ford Ka 1.0 Flex 3p;22900.0;2009;85.600 Km;São Paulo Zona Norte ; São Paulo;Ford
Chevrolet Celta 1.0 Spirit Flex Power 5p 70 Hp;22900.0;2009;258.831 Km;São Paulo Zona Leste ; São Paulo;Chevrolet
Renault Clio 1.0 16v Campus Hi-flex 3p;19990.0;2011;139.000 Km;Campinas ; São Paulo;Renault
Renault Sandero 1.0 16v Authentique Hi-flex 5p;23900.0;2012;231.000 Km;Guarulhos ; São Paulo;Renault
Chery Qq 1.1 16v 5p;23900.0;2014;60.000 Km;São Paulo Zona Leste ; São Paulo;Chery
Fiat Palio Palio Elx 1.0 (flex) 4p;23900.0;2009;174.636 Km;São Paulo Zona Norte ; São Paulo;Fiat
Citroën C3 1.4 8v Glx Flex 5p;19990.0;2010;153.000 Km;São Paulo Zona Leste ; São Paulo;Citroën
Chevrolet Celta Life 1.0 Vhce (flex) 4p;23900.0;2011;160.172 Km;São Paulo Centro ; São Paulo;Chevrolet
Volkswagen Fox 1.0 Vht Total Flex 5p;25000.0;2010;139.000 Km;São Paulo Zona Leste ; São Paulo;Volkswagen
Peugeot 207 207 1.4 Xr 8v Flex 4p Manual;17800.0;2011;1.111 Km;Carapicuíba ; São Paulo;Peugeot
